Data collector,Author,Year,Journal,Vol.p.p,Species,Native,Sample size,Fitness measure,Trait,Selection differential (s),s standard error ,s significance,Selection gradient (B),B standard error,B significance
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Bill depth (size corrected),,,,-0.03,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Size: indexed as 1st PC from morphological data,,,,0.31,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Bill depth (size corrected),,,,-0.1,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Length of 1st primary (size corrected),,,,0.09,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Wing length (size corrected),,,,0.17,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Length of 1st primary (size corrected),,,,-0.26,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Wing length (size corrected),,,,0.41,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Tail length (size corrected),,,,-0.05,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Tail length (size corrected),,,,0.17,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Tail length (size corrected),,,,0.17,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Tail length (size corrected),,,,0.61,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Length of 1st primary (size corrected),,,,-0.24,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Bill depth (size corrected),,,,0.13,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Bill length (size corrected),,,,0.14,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Bill length (size corrected),,,,0.14,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Wing length (size corrected),,,,0.05,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Tarsus length (size corrected),,,,0.36,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Tarsus length (size corrected),,,,0.28,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Size: indexed as 1st PC from morphological data,,,,0.12,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Tarsus length (size corrected),,,,-0.38,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Size: indexed as 1st PC from morphological data,,,,0.06,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Bill depth (size corrected),,,,0.32,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,193,Number of young recruited  into local breeding population,Tarsus length (size corrected),,,,0.15,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Bill length (size corrected),,,,-0.24,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,126,Number of young recruited  into local breeding population,Bill length (size corrected),,,,-0.6,,
KingsolverDiamond,"Bjorklund, M. and M. Linden",1993,JEB,6:397-415,Parus major,yes,255,Number of young recruited  into local breeding population,Length of 1st primary (size corrected),,,,-0.4,,
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Parasite load (# black spots),,,,-0.3,0.158,sig
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Pectoral fin size,,,,0.06,0.15,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Mean d squared (microsatellite allelic diversity),,,,-0.24,0.158,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Standard length,,,,0.19,0.149,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Distance to shore of nest,,,,-0.14,0.16,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,standard length x mean d squared,,,,-0.27,0.237,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Parasite load x mean d squared,,,,-0.23,0.224,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,distance to shore x parasite load,,,,-0.22,0.187,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,Distance to shore of nest x mean d squared,,,,-0.13,0.186,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,standard length x parasite load,,,,-0.02,0.224,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,pectoral fin size x distance to shore,,,,0,0.193,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,pectoral fin size x standard length,,,,0.15,0.218,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,pectoral fin size x parasite load,,,,0.18,0.224,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,standard length x xdistance to shore,,,,0.19,0.183,ns
DJW,Blais et al.,2004,Evolution,58:2498-2510,Gasterosteus aculeatus,yes,95,number of offspring,pectoral fin size x mean d squared,,,,0.22,0.274,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,fore tibia length,0.01,,ns,0.09,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,Wing width,-0.02,,ns,-0.11,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,fore femur base,-0.11,,sig,-0.13,,sig
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,Thorax length,-0.03,,ns,-0.11,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,wing length,0.06,,ns,0.32,,sig
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,abdominal width,0.03,,ns,0.08,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,adbominal length,0.01,,ns,0.02,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,male clasper gap,0.03,,ns,0.12,,sig
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,wet weight,0,,ns,0.01,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,fore coxa length,-0.06,,ns,-0.07,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,hing tibia length,0,,ns,0.01,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,fore femur end,0.02,,ns,0.05,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,296,mating success,glycogen content,-0.09,,sig,-0.06,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,296,mating success,mean FA (foreleg fluctuating asymetry),0.02,,ns,0.01,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,Head width,-0.02,,ns,-0.02,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,296,mating success,lipid content,0.08,,sig,0.07,,sig
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,296,mating success,glucose content,-0.08,,sig,-0.05,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,296,mating success,hid tibia length,0.09,,sig,0.08,,sig
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,Thorax width,-0.05,,ns,-0.16,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,fore femur length,-0.02,,ns,0.04,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,pc1 (body size),-0.03,,ns,,,ns
DJW,Blanckenhorn et al.,2004,JEB,17(3):629-641,Sepsis cynipsea,yes,375,mating success,pc2 (genitals and shape),-0.18,,ns,,,ns
JAL,Boege,2010,Ecology,91(9):2628-2637,Tithonia tubaeformis,yes,135,Estimated flower head area,new leaves,,,,0.67,0.17,sig
JAL,Boege,2010,Ecology,91(9):2628-2637,Tithonia tubaeformis,yes,135,Estimated flower head area,diameter,,,,0.79,0.21,sig
JAL,Boege,2010,Ecology,91(9):2628-2637,Tithonia tubaeformis,yes,135,Estimated flower head area,stem elongation,,,,,,ns
JAL,Boege,2010,Ecology,91(9):2628-2637,Tithonia tubaeformis,yes,135,Estimated flower head area,internode length,,,,,,ns
JAL,Boege,2010,Ecology,91(9):2628-2637,Tithonia tubaeformis,yes,135,Estimated flower head area,resistance to herb.,,,,,,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.07,0.053,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,-0.09,0.053,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,0.07,0.055,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.04,0.049,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.01,0.051,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,-0.07,0.062,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,530,Growth rate,PC2,,,,0.09,0.05,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.03,0.051,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,398,Growth rate,PC2,,,,0.06,0.052,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,0.08,0.05,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,530,Growth rate,PC3,,,,0.08,0.046,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,0,0.051,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,399,Growth rate,PC3,,,,-0.07,0.052,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,498,Growth rate,PC3,,,,-0.04,0.047,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,498,Growth rate,PC2,,,,0.01,0.047,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,300,Growth rate,PC3,,,,-0.25,0.058,sig
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,300,Growth rate,PC2,,,,0.01,0.06,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,399,Growth rate,PC2,,,,0.1,0.052,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,497,Growth rate,PC2,,,,0.02,0.049,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,0,0.053,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,-0.09,0.05,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,0.07,0.051,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,0.01,0.049,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,497,Growth rate,PC3,,,,-0.12,0.049,sig
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,300,Growth rate,PC3,,,,-0.06,0.059,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.01,0.051,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,398,Growth rate,PC3,,,,0.01,0.052,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC3,,,,-0.01,0.052,ns
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,300,Growth rate,PC2,,,,0.14,0.059,sig
CPT,Bolnick and Lau,2008,American Naturalist,172(1):1-11,Gasterosteus aculeatus,yes,400,Growth rate,PC2,,,,0.11,0.049,sig
CPT,Bolnick et al,2008,Biological J Linnean Soc,94:273-287,Gasterosteus aculeatus,yes,132,relative gonad mass,gill raker length,,,,-0.29,0.111,sig
