PotNum,Scenario,Nutrients,Taxon,Symphytum,Silene,Urtica,Geranium,Geum,All_Natives,Fallopia,Total,Pct_Fallopia
124,fluctuations,high,japon,9.40,22.42,21.48,8.49,0.11,61.90,7.10,69.00,10.29
125,fluctuations,high,japon,12.62,26.72,1.18,2.50,0.16,43.18,22.22,65.40,33.98
126,fluctuations,high,japon,12.55,21.08,3.07,7.85,0.22,44.77,5.96,50.73,11.75
127,fluctuations,high,japon,1.73,47.35,9.70,0.35,0.00,59.13,3.95,63.08,6.26
128,fluctuations,high,japon,1.50,24.72,11.09,6.99,0.85,45.15,15.78,60.93,25.90
129,fluctuations,high,japon,5.92,0.00,8.56,9.47,0.12,24.07,5.47,29.54,18.52
131,fluctuations,high,japon,13.44,27.25,2.50,5.85,0.08,49.12,0.00,49.12,0.00
132,fluctuations,high,japon,8.41,50.11,6.73,0.19,0.39,65.83,2.90,68.73,4.22
133,fluctuations,high,japon,4.91,21.07,4.81,0.00,0.28,31.07,0.83,31.90,2.60
134,fluctuations,high,japon,7.40,43.74,3.83,0.00,0.17,55.14,14.74,69.88,21.09
135,fluctuations,high,japon,8.23,38.74,15.99,3.39,1.80,68.15,1.33,69.48,1.91
136,fluctuations,high,bohem,11.75,22.60,4.29,5.20,0.00,43.84,4.04,47.88,8.44
138,fluctuations,high,bohem,10.91,24.56,1.61,9.18,0.13,46.39,5.03,51.42,9.78
139,fluctuations,high,bohem,8.42,17.65,15.32,9.80,1.25,52.44,5.69,58.13,9.79
140,fluctuations,high,bohem,11.59,23.48,3.78,8.20,0.35,47.40,3.11,50.51,6.16
142,fluctuations,high,bohem,11.11,0.00,28.23,0.00,0.54,39.88,14.95,54.83,27.27
143,fluctuations,high,bohem,5.06,12.81,23.82,3.64,0.16,45.49,21.31,66.80,31.90
144,fluctuations,high,bohem,19.93,21.07,6.08,2.80,0.43,50.31,0.00,50.31,0.00
145,fluctuations,high,bohem,4.89,32.93,6.30,9.64,0.00,53.76,2.36,56.12,4.21
147,fluctuations,high,bohem,7.84,31.16,13.61,6.58,0.03,59.22,3.74,62.96,5.94
148,fluctuations,high,bohem,4.15,38.70,23.59,5.11,1.36,72.91,5.89,78.80,7.47
149,fluctuations,high,bohem,1.72,10.41,23.48,8.51,0.43,44.55,19.70,64.25,30.66
